relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
3870,,-0.2950286865234375,0.4864044189453125,10.250625610351563
3890,0.27899033056443784,,,
3891,,-0.27947998046875,0.5175018310546875,10.310455322265625
3918,,-0.268707275390625,0.5115203857421875,10.297286987304688
3934,,,,10.269775390625
3935,,-0.2758941650390625,0.5055389404296875,
3950,,-0.2830657958984375,0.512725830078125,10.2996826171875
3970,0.27431700812681503,,,
3971,,-0.2830657958984375,0.5198974609375,10.304473876953125
3992,,-0.292633056640625,0.5414276123046875,10.328399658203125
4016,,,,10.337966918945313
4017,,-0.292633056640625,0.524688720703125,
4032,,-0.2878570556640625,0.5414276123046875,10.324813842773438
4033,0.2494587851436846,,,
4052,,-0.298614501953125,0.5390472412109375,10.316436767578125
4072,,-0.2998199462890625,0.513916015625,10.309249877929688
4093,0.20843697096029742,-0.298614501953125,0.506744384765625,10.314041137695313
4118,,-0.296234130859375,0.509124755859375,10.291305541992188
4134,,-0.30340576171875,0.518707275390625,10.312850952148438
4152,,-0.268707275390625,0.518707275390625,10.310455322265625
4173,0.1851954997990467,-0.2830657958984375,0.5115203857421875,10.328399658203125
4191,,,,10.3056640625
4192,,-0.28546142578125,0.5163116455078125,
4224,,-0.290252685546875,0.52587890625,10.309249877929688
4233,0.17196809891527756,,,
4234,,-0.2770843505859375,0.542633056640625,10.317626953125
4253,,,,10.274566650390625
4254,,-0.2639312744140625,0.5510101318359375,
4273,,-0.314178466796875,,10.304473876953125
4274,,,0.548614501953125,
4297,0.15244639435548807,-0.286651611328125,0.530670166015625,10.304473876953125
4316,,-0.2878570556640625,0.5103302001953125,10.322418212890625
4333,,,,10.341552734375
4334,,-0.2699127197265625,0.5390472412109375,
4354,,-0.2711029052734375,0.518707275390625,10.298492431640625
4374,0.11771967769563087,-0.27349853515625,0.5318603515625,10.326004028320313
4400,,-0.2699127197265625,0.4995574951171875,10.302078247070313
4416,,,,10.296096801757813
4417,,-0.30938720703125,0.521087646484375,
4434,,-0.2711029052734375,0.5163116455078125,10.306869506835938
4435,0.13226568327945837,,,
4453,,-0.2818756103515625,0.503143310546875,10.306869506835938
4474,,-0.2758941650390625,0.5270843505859375,10.320022583007813
4498,0.11663701382723654,-0.2890472412109375,0.536651611328125,10.326004028320313
4516,,-0.2950286865234375,0.524688720703125,10.298492431640625
4535,,-0.30340576171875,0.5294647216796875,10.302078247070313
4555,,-0.2770843505859375,0.513916015625,10.303268432617188
4576,0.10336382549966207,-0.2830657958984375,0.5163116455078125,10.330795288085938
4599,,-0.2818756103515625,0.5198974609375,10.2877197265625
4617,,-0.23760986328125,0.530670166015625,10.317626953125
4637,0.08176727339057809,-0.268707275390625,0.5198974609375,10.303268432617188
4658,,-0.29742431640625,0.5222930908203125,10.291305541992188
4683,,-0.302215576171875,0.530670166015625,10.314041137695313
4698,0.08642653825934823,-0.298614501953125,0.5270843505859375,10.297286987304688
4717,,-0.310577392578125,0.537841796875,10.314041137695313
4737,,-0.274688720703125,0.5318603515625,10.2996826171875
4758,0.06099216091218459,-0.2782745361328125,0.5402374267578125,10.317626953125
4783,,-0.29144287109375,0.5175018310546875,10.291305541992188
4798,,-0.2770843505859375,0.542633056640625,10.309249877929688
4817,,,,10.33319091796875
4818,,-0.2651214599609375,0.5198974609375,
4837,,-0.2830657958984375,0.536651611328125,10.294906616210938
4838,0.05106488437948325,,,
4858,,-0.27947998046875,0.52587890625,10.312850952148438
4883,,-0.26153564453125,0.5115203857421875,10.2996826171875
4898,0.05735871359161413,,,
4899,,-0.3069915771484375,0.52587890625,10.342758178710938
4922,,-0.2722930908203125,,10.28173828125
4923,,,0.52587890625,
4936,,-0.29144287109375,0.512725830078125,10.331985473632813
4958,,,,10.298492431640625
4959,,-0.292633056640625,0.5079345703125,
4964,0.05368182086688784,,,
4984,,-0.27349853515625,0.5234832763671875,10.274566650390625
5000,,-0.308197021484375,0.5234832763671875,10.312850952148438
5019,,-0.2663116455078125,0.509124755859375,10.2877197265625
5038,0.04985220129314898,,,
5039,,-0.2758941650390625,0.5198974609375,10.270965576171875
5059,,-0.28546142578125,0.5043487548828125,10.306869506835938
5082,,-0.2890472412109375,0.537841796875,10.32958984375
5100,0.042507582265990725,-0.27947998046875,0.524688720703125,10.308059692382813
5119,,-0.2722930908203125,0.512725830078125,10.288925170898438
5139,,-0.2782745361328125,0.509124755859375,10.294906616210938
5163,0.035305631355146194,-0.304595947265625,0.5414276123046875,10.347549438476563
5184,,-0.284271240234375,0.5342559814453125,10.2996826171875
5199,,-0.308197021484375,0.5175018310546875,10.318832397460938
5225,,-0.3189544677734375,0.500762939453125,10.32720947265625
5240,0.03211786260060037,-0.27947998046875,0.503143310546875,10.28173828125
5267,,,,10.306869506835938
5268,,-0.304595947265625,0.4923858642578125,
5282,,-0.2603302001953125,0.4768218994140625,10.291305541992188
5300,0.03210880700186783,,,
5301,,-0.2531585693359375,0.509124755859375,10.285324096679688
5320,,,,10.2996826171875
5321,,-0.280670166015625,0.509124755859375,
5341,,-0.2782745361328125,0.5414276123046875,10.2996826171875
5362,0.052079664289860675,-0.29742431640625,0.537841796875,10.288925170898438
5382,,-0.2818756103515625,0.5402374267578125,10.304473876953125
5401,,-0.2699127197265625,0.561767578125,10.285324096679688
5421,,-0.314178466796875,0.5402374267578125,10.3236083984375
5440,0.020408372253496967,-0.26751708984375,0.5198974609375,10.273361206054688
5464,,-0.314178466796875,0.513916015625,10.3056640625
5482,,-0.2878570556640625,0.5103302001953125,10.279342651367188
5502,0.007482380152036852,-0.292633056640625,0.500762939453125,10.3236083984375
5522,,-0.2938385009765625,0.4935760498046875,10.32720947265625
5542,,-0.2818756103515625,0.512725830078125,10.291305541992188
5563,0.026362828274053014,-0.2878570556640625,0.503143310546875,10.274566650390625
5589,,-0.290252685546875,0.5282745361328125,10.3355712890625
5602,,-0.2531585693359375,,10.278152465820313
5603,,,0.5198974609375,
5624,,-0.29144287109375,0.5402374267578125,10.297286987304688
5625,0.032401992765483625,,,
5648,,,,10.303268432617188
5649,,-0.286651611328125,0.521087646484375,
5665,,-0.2579498291015625,0.5294647216796875,10.293701171875
5682,,-0.2722930908203125,0.5294647216796875,10.3056640625
5703,0.012020117742451259,-0.28546142578125,0.512725830078125,10.3056640625
5724,,,,10.306869506835938
5725,,-0.302215576171875,0.5234832763671875,
5749,,-0.32135009765625,0.5270843505859375,10.3236083984375
5764,0.017191932794758627,-0.2950286865234375,0.4983673095703125,10.309249877929688
5784,,-0.296234130859375,0.5055389404296875,10.354721069335938
5804,,-0.292633056640625,0.5163116455078125,10.291305541992188
5825,0.020615315090429825,-0.30340576171875,0.518707275390625,10.314041137695313
5849,,-0.296234130859375,0.5079345703125,10.296096801757813
5864,,-0.2938385009765625,0.5115203857421875,10.304473876953125
5884,,,,10.316436767578125
5885,,-0.3069915771484375,0.530670166015625,
5905,0.02305900408124294,-0.284271240234375,0.5354461669921875,10.2996826171875
5924,,-0.2830657958984375,0.5222930908203125,10.28173828125
5948,,-0.2711029052734375,0.5163116455078125,10.303268432617188
5965,0.009078585191386863,-0.2722930908203125,0.5402374267578125,10.303268432617188
5985,,,,10.326004028320313
5986,,-0.2830657958984375,0.52587890625,
6006,,-0.2950286865234375,0.5354461669921875,10.336776733398438
6030,0.01811777766000787,-0.3010101318359375,0.4935760498046875,10.292510986328125
6049,,-0.26751708984375,0.5055389404296875,10.261398315429688
6066,,-0.2818756103515625,0.509124755859375,10.341552734375
6086,,-0.284271240234375,0.5270843505859375,10.294906616210938
6106,0.015241982741363905,-0.2938385009765625,,10.328399658203125
6107,,,0.500762939453125,
6133,,-0.274688720703125,0.5198974609375,10.306869506835938
6148,,-0.2950286865234375,0.5330657958984375,10.308059692382813
6167,0.020206335109543765,-0.2591400146484375,0.5414276123046875,10.290115356445313
6186,,-0.2651214599609375,0.4840087890625,10.303268432617188
6207,,-0.2818756103515625,0.5163116455078125,10.306869506835938
6233,0.012006658897552923,-0.27349853515625,,10.285324096679688
6234,,,0.491180419921875,
6249,,-0.2878570556640625,0.5115203857421875,10.314041137695313
6267,,,,10.28173828125
6268,,-0.292633056640625,0.5055389404296875,
6287,,,,10.304473876953125
6288,,-0.304595947265625,0.5163116455078125,
6310,0.02879841976419542,,,
6316,,-0.304595947265625,0.5270843505859375,10.3116455078125
6332,,-0.296234130859375,0.5234832763671875,10.312850952148438
6348,,-0.3010101318359375,0.5318603515625,10.304473876953125
6368,0.01584751967100227,-0.274688720703125,0.5462188720703125,10.297286987304688
6388,,-0.2722930908203125,0.5462188720703125,10.28173828125
6415,,-0.3010101318359375,,10.318832397460938
6416,,,0.52587890625,
6433,0.007547138008794638,-0.274688720703125,0.518707275390625,10.2877197265625
6449,,-0.2950286865234375,0.52587890625,10.286529541015625
6469,,-0.3249359130859375,0.5103302001953125,10.296096801757813
6490,0.013648770918612567,-0.2938385009765625,0.515106201171875,10.330795288085938
6515,,-0.26153564453125,0.4935760498046875,10.298492431640625
6532,,-0.298614501953125,0.5079345703125,10.2996826171875
6549,,-0.2998199462890625,0.5234832763671875,10.328399658203125
6569,0.012887467915282747,-0.27349853515625,,10.3056640625
6570,,,0.5354461669921875,
6590,,,,10.316436767578125
6614,,-0.308197021484375,0.518707275390625,10.3056640625
6631,0.01851343915607744,-0.2818756103515625,0.5234832763671875,10.304473876953125
6650,,-0.2878570556640625,0.5175018310546875,10.308059692382813
6668,,-0.2471771240234375,0.524688720703125,10.285324096679688
6691,0.006720392892136773,-0.2818756103515625,0.5079345703125,10.310455322265625
6714,,-0.2938385009765625,0.518707275390625,10.331985473632813
6731,,-0.2782745361328125,0.5198974609375,10.292510986328125
6751,,-0.2663116455078125,0.5198974609375,10.312850952148438
6771,0.021031235240450013,-0.29144287109375,0.5115203857421875,10.32122802734375
6793,,-0.2878570556640625,0.524688720703125,10.322418212890625
6814,,-0.28546142578125,0.509124755859375,10.294906616210938
6831,0.015574954397878545,-0.2998199462890625,0.5282745361328125,10.284133911132813
6851,,-0.290252685546875,0.515106201171875,10.278152465820313
6872,,,,10.274566650390625
6873,,-0.2639312744140625,0.515106201171875,
6896,0.008902395632226707,-0.2878570556640625,0.5450286865234375,10.328399658203125
6913,,-0.284271240234375,0.491180419921875,10.33319091796875
6931,,-0.2818756103515625,0.5079345703125,10.330795288085938
6956,,-0.2758941650390625,,10.285324096679688
6957,,,0.5115203857421875,
6972,0.014306091275262693,,,
6973,,-0.274688720703125,0.5163116455078125,10.268585205078125
6995,,-0.290252685546875,0.5234832763671875,10.249435424804688
7014,,-0.29144287109375,0.5318603515625,10.300888061523438
7033,0.02336590730191865,-0.296234130859375,0.5282745361328125,10.3116455078125
7053,,-0.2890472412109375,0.467254638671875,10.259002685546875
7073,,-0.2950286865234375,0.5198974609375,10.278152465820313
7095,0.02319402944701132,,,10.225509643554688
7096,,-0.2950286865234375,0.5222930908203125,
7113,,-0.2782745361328125,0.5055389404296875,10.154922485351563
7133,,-0.244781494140625,0.524688720703125,10.165679931640625
7155,,-0.296234130859375,0.521087646484375,10.187225341796875
7172,0.036760904142085174,,,10.199188232421875
7173,,-0.310577392578125,0.509124755859375,
7196,,-0.314178466796875,0.5354461669921875,10.2578125
7214,,-0.2758941650390625,0.509124755859375,10.236282348632813
7234,0.11211425557960371,-0.3177642822265625,0.4840087890625,10.22430419921875
7254,,-0.3285369873046875,0.506744384765625,10.376251220703125
7275,,-0.2603302001953125,0.5330657958984375,10.355911254882813
7296,0.047428786313822184,-0.2651214599609375,0.5234832763671875,10.3355712890625
7315,,-0.2591400146484375,0.530670166015625,10.348739624023438
7335,,-0.2591400146484375,0.5462188720703125,10.331985473632813
7356,,-0.290252685546875,0.5222930908203125,10.371475219726563
7357,0.05044675434442301,,,
7381,,-0.2711029052734375,0.506744384765625,10.41693115234375
7398,,-0.268707275390625,0.554595947265625,10.382232666015625
7415,,-0.2998199462890625,0.5175018310546875,10.360702514648438
7435,0.06346670220892309,-0.3237457275390625,0.5055389404296875,10.365493774414063
7465,,-0.284271240234375,0.5330657958984375,10.3056640625
7480,,-0.27947998046875,0.485198974609375,10.35113525390625
7496,0.08313488210022209,,,
7497,,-0.290252685546875,0.5115203857421875,10.364288330078125
7517,,-0.298614501953125,0.513916015625,10.303268432617188
7536,,,,10.304473876953125
7537,,-0.298614501953125,0.5175018310546875,
7566,0.03847108707584016,-0.2758941650390625,0.536651611328125,10.322418212890625
7581,,-0.29742431640625,0.5414276123046875,10.290115356445313
7598,,-0.26153564453125,0.530670166015625,10.31524658203125
7617,,-0.296234130859375,0.5438232421875,10.354721069335938
7637,0.008406383285481744,-0.28546142578125,0.530670166015625,10.3056640625
7657,,-0.274688720703125,0.536651611328125,10.309249877929688
7681,,-0.29144287109375,0.5390472412109375,10.3355712890625
